"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"A1","1","","","","","Can foot:ESP32 25.4mm","",""
"C1,C2,C3,C4,C5,C6,C7","7","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","Unpolarized capacitor"
"C8,C9","2","22uF / 25v","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","Unpolarized capacitor"
"C10,C12","2","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","Unpolarized capacitor"
"C11,C13","2","3.3nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","Unpolarized capacitor"
"C14,C15,C16,C18","4","10uF / 35-50v","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","Unpolarized capacitor"
"C17,C19","2","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","Unpolarized capacitor"
"D1,D2,D3,D4","4","SS14","","","","Diode_SMD:D_3220_8050Metric_Pad2.65x5.15mm_HandSolder","","Diode"
"D5,D6,D7","3","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Light emitting diode"
"J1","1","Conn_02x20_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","1","Screw_Terminal_01x10","","","","Can foot:Wago 256 410","","Generic screw terminal, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)"
"L1,L2","2","22uH","","","","Can foot:L_12x12mm_H8mm","","Inductor"
"Q1,Q2,Q3","3","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23"
"R1,R3,R5,R7,R9,R11,R13,R29,R30,R31,R32,R33,R35","13","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor"
"R2,R4,R6,R8,R10,R12,R14,R42","8","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor"
"R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R43,R44","14","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor"
"R27","1","470","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R28,R34","2","44.2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor"
"R36,R37,R38","3","220","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor"
"R39,R40","2","2.2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor"
"R41","1","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","","test point"
"U1,U2","2","ULN2003A","","","","Can foot:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16"
"U3","1","AQY212GZS","","","","Package_SO:SO-4_4.4x4.3mm_P2.54mm","",""
"U4,U5","2","TS3552CS","","","","Can foot:SOP-8_3.76x4.96mm_P1.27mm","",""
