Reference,Original Value,Ozdisan Part Name,Link,Datasheet,Summary
C1,100nF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C2,100nF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C3,100nF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C4,100nF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C5,100nF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C6,100nF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C7,100nF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C8,22uF / 25v,SAMSUNG CL32B226KAJNNNE,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 1210 22uF 25V 10% X7R
C9,22uF / 25v,SAMSUNG CL32B226KAJNNNE,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 1210 22uF 25V 10% X7R
C10,0.1uF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C12,0.1uF,SAMSUNG CL21B104KBCNNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 100nF 50V 10% X7R
C11,3.3nF,SAMSUNG CL21B332KBANNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 3.3nF 50V 10% X7R
C13,3.3nF,SAMSUNG CL21B332KBANNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 3.3nF 50V 10% X7R
C14,10uF / 35-50v,SAMSUNG CL31B106KBHNNNE,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 1206 10uF 50V 10% X7R
C15,10uF / 35-50v,SAMSUNG CL31B106KBHNNNE,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 1206 10uF 50V 10% X7R
C16,10uF / 35-50v,SAMSUNG CL31B106KBHNNNE,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 1206 10uF 50V 10% X7R
C18,10uF / 35-50v,SAMSUNG CL31B106KBHNNNE,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 1206 10uF 50V 10% X7R
C17,10nF,SAMSUNG CL21B103KBANNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 10nF 50V 10% X7R
C19,10nF,SAMSUNG CL21B103KBANNNC,https://www.ozdisan.com/p/SMT-SMD-and-MLCC-Capacitors-184,N/A,MLCC 0805 10nF 50V 10% X7R
D1,SS14,JIAQI SS14-SMA-N-JQ,https://www.ozdisan.com/en/ps/schottky-diodes-385,https://cdn.ozdisan.com/public/product/assets/TAIWAN%20SEMIC_SS12H%20SERIES_B2305.pdf,DIODE SCHOTTKY 1A 40V DO214AC (SMA)
D2,SS14,JIAQI SS14-SMA-N-JQ,https://www.ozdisan.com/en/ps/schottky-diodes-385,https://cdn.ozdisan.com/public/product/assets/TAIWAN%20SEMIC_SS12H%20SERIES_B2305.pdf,DIODE SCHOTTKY 1A 40V DO214AC (SMA)
D3,SS14,JIAQI SS14-SMA-N-JQ,https://www.ozdisan.com/en/ps/schottky-diodes-385,https://cdn.ozdisan.com/public/product/assets/TAIWAN%20SEMIC_SS12H%20SERIES_B2305.pdf,DIODE SCHOTTKY 1A 40V DO214AC (SMA)
D4,SS14,JIAQI SS14-SMA-N-JQ,https://www.ozdisan.com/en/ps/schottky-diodes-385,https://cdn.ozdisan.com/public/product/assets/TAIWAN%20SEMIC_SS12H%20SERIES_B2305.pdf,DIODE SCHOTTKY 1A 40V DO214AC (SMA)
D5,LED,INFOREC LED XC-0805YVC,https://www.ozdisan.com/en/p/led-signal-color-361/inforec-led-xc-0805yvc-349097,N/A,LED SMD 0805 YELLOW 100mcd 120° WATER CLEAR
D6,LED,INFOREC LED XC-0805YVC,https://www.ozdisan.com/en/p/led-signal-color-361/inforec-led-xc-0805yvc-349097,N/A,LED SMD 0805 YELLOW 100mcd 120° WATER CLEAR
