Reference,Original Value,Target Part,Link,Datasheet,Summary
A1,nan,2x 1x22 Female Pin Header,https://www.we-online.com/en/components/products/PHD_2_54_THT_SOCKET_HEADER_6130XX11821,https://www.we-online.com/components/products/datasheet/61302211821.pdf,2 pieces of 1x22 female 2.54mm pitch connectors
C1,100nF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF 50V 10% X7R
C2,100nF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF 50V 10% X7R
C3,100nF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF 50V 10% X7R
C4,100nF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF 50V 10% X7R
C5,100nF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF 50V 10% X7R
C6,100nF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF 50V 10% X7R
C7,100nF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF 50V 10% X7R
C8,22uF / 25v,SAMSUNG CL32B226KAJNNNE,https://product.samsungsemiconductors.com/mlcc/CL32B226KAJNNNE.do,https://product.samsungsemiconductors.com/product/MLCC/CL32B226KAJNNNE/spec.pdf,MLCC 1210 22uF 25V 10% X7R
C9,22uF / 25v,SAMSUNG CL32B226KAJNNNE,https://product.samsungsemiconductors.com/mlcc/CL32B226KAJNNNE.do,https://product.samsungsemiconductors.com/product/MLCC/CL32B226KAJNNNE/spec.pdf,MLCC 1210 22uF 25V 10% X7R
C10,0.1uF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF (0.1uF) 50V 10% X7R
C12,0.1uF,SAMSUNG CL21B104KBCNNNC,https://product.samsungsemiconductors.com/mlcc/CL21B104KBCNNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B104KBCNNNC/spec.pdf,MLCC 0805 100nF (0.1uF) 50V 10% X7R
C11,3.3nF,SAMSUNG CL21B332KBANNNC,https://product.samsungsemiconductors.com/mlcc/CL21B332KBANNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B332KBANNNC/spec.pdf,MLCC 0805 3.3nF 50V 10% X7R
C13,3.3nF,SAMSUNG CL21B332KBANNNC,https://product.samsungsemiconductors.com/mlcc/CL21B332KBANNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B332KBANNNC/spec.pdf,MLCC 0805 3.3nF 50V 10% X7R
C14,10uF / 35-50v,SAMSUNG CL31B106KBHNNNE,https://product.samsungsemiconductors.com/mlcc/CL31B106KBHNNNE.do,https://product.samsungsemiconductors.com/product/MLCC/CL31B106KBHNNNE/spec.pdf,MLCC 1206 10uF 50V 10% X7R
C15,10uF / 35-50v,SAMSUNG CL31B106KBHNNNE,https://product.samsungsemiconductors.com/mlcc/CL31B106KBHNNNE.do,https://product.samsungsemiconductors.com/product/MLCC/CL31B106KBHNNNE/spec.pdf,MLCC 1206 10uF 50V 10% X7R
C16,10uF / 35-50v,SAMSUNG CL31B106KBHNNNE,https://product.samsungsemiconductors.com/mlcc/CL31B106KBHNNNE.do,https://product.samsungsemiconductors.com/product/MLCC/CL31B106KBHNNNE/spec.pdf,MLCC 1206 10uF 50V 10% X7R
C18,10uF / 35-50v,SAMSUNG CL31B106KBHNNNE,https://product.samsungsemiconductors.com/mlcc/CL31B106KBHNNNE.do,https://product.samsungsemiconductors.com/product/MLCC/CL31B106KBHNNNE/spec.pdf,MLCC 1206 10uF 50V 10% X7R
C17,10nF,SAMSUNG CL21B103KBANNNC,https://product.samsungsemiconductors.com/mlcc/CL21B103KBANNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B103KBANNNC/spec.pdf,MLCC 0805 10nF 50V 10% X7R
C19,10nF,SAMSUNG CL21B103KBANNNC,https://product.samsungsemiconductors.com/mlcc/CL21B103KBANNNC.do,https://product.samsungsemiconductors.com/product/MLCC/CL21B103KBANNNC/spec.pdf,MLCC 0805 10nF 50V 10% X7R
D1,SS14,TAIWAN SEMICONDUCTOR SS14,https://www.taiwansemi.com/en/products/details/SS14,https://www.taiwansemi.com/assets/uploads/datasheet/SS12-SS115_E2211.pdf,DIODE SCHOTTKY 40V 1A DO214AC (SMA)
D2,SS14,TAIWAN SEMICONDUCTOR SS14,https://www.taiwansemi.com/en/products/details/SS14,https://www.taiwansemi.com/assets/uploads/datasheet/SS12-SS115_E2211.pdf,DIODE SCHOTTKY 40V 1A DO214AC (SMA)
D3,SS14,TAIWAN SEMICONDUCTOR SS14,https://www.taiwansemi.com/en/products/details/SS14,https://www.taiwansemi.com/assets/uploads/datasheet/SS12-SS115_E2211.pdf,DIODE SCHOTTKY 40V 1A DO214AC (SMA)
D4,SS14,TAIWAN SEMICONDUCTOR SS14,https://www.taiwansemi.com/en/products/details/SS14,https://www.taiwansemi.com/assets/uploads/datasheet/SS12-SS115_E2211.pdf,DIODE SCHOTTKY 40V 1A DO214AC (SMA)
D5,LED,INFOREC LED XC-0805YVC,https://www.ozdisan.com/en/p/led-signal-color-361/inforec-led-xc-0805yvc-349097,N/A,LED SMD 0805 YELLOW 100mcd 120° WATER CLEAR
D6,LED,INFOREC LED XC-0805YVC,https://www.ozdisan.com/en/p/led-signal-color-361/inforec-led-xc-0805yvc-349097,N/A,LED SMD 0805 YELLOW 100mcd 120° WATER CLEAR
D7,LED,INFOREC LED XC-0805YVC,https://www.ozdisan.com/en/p/led-signal-color-361/inforec-led-xc-0805yvc-349097,N/A,LED SMD 0805 YELLOW 100mcd 120° WATER CLEAR
J1,Conn_02x20_Odd_Even,WURTH ELEKTRONIK 61304021121,https://www.we-online.com/en/components/products/PHD_2_54_SMT_DUAL_SOCKET_HEADER_BOTTOM_ENTRY_6130XX243121,https://www.we-online.com/components/products/datasheet/61304021121.pdf,PIN HEADER 40PIN (2x20) 2.54mm
J2,Screw_Terminal_01x10,WAGO 256-410,https://www.wago.com/global/pcb-terminal-blocks-and-connectors/pcb-terminal-block/p/256-410,https://www.wago.com/global/pcb-terminal-blocks-and-connectors/pcb-terminal-block/p/256-410#downloads,PCB Terminal Block 10-Pole 2.5mm2 256 Series
L1,22uH,CORE MASTER SRI1004-220M,https://www.ozdisan.com/en/p/fixed-inductors-468/core-master-sri1004-220m-527910,N/A,INDUCTOR POWER 22UH 10X10MM SMD 3A
L2,22uH,CORE MASTER SRI1004-220M,https://www.ozdisan.com/en/p/fixed-inductors-468/core-master-sri1004-220m-527910,N/A,INDUCTOR POWER 22UH 10X10MM SMD 3A
Q1,AO3400A,HOTTECH AO3406-HT,https://electroist.com/tr-tr/product/12971/ao3406-ht,https://www.alldatasheet.com/datasheet-pdf/pdf/1315802/HOTTECH/AO3406.html,MOSFET 3.6A 30V N-CH SOT23 TRENCH SMT
Q2,AO3400A,HOTTECH AO3406-HT,https://electroist.com/tr-tr/product/12971/ao3406-ht,https://www.alldatasheet.com/datasheet-pdf/pdf/1315802/HOTTECH/AO3406.html,MOSFET 3.6A 30V N-CH SOT23 TRENCH SMT
Q3,AO3400A,HOTTECH AO3406-HT,https://electroist.com/tr-tr/product/12971/ao3406-ht,https://www.alldatasheet.com/datasheet-pdf/pdf/1315802/HOTTECH/AO3406.html,MOSFET 3.6A 30V N-CH SOT23 TRENCH SMT
R1,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R3,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R5,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R7,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R9,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R11,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R13,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R29,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R30,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R31,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R32,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R33,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R35,10k,YAGEO RC0805FR-0710KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 10K Ohms 1% 1/8W
R2,1k,YAGEO RC0805FR-071KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 1K Ohms 1% 1/8W
R4,1k,YAGEO RC0805FR-071KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 1K Ohms 1% 1/8W
R6,1k,YAGEO RC0805FR-071KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 1K Ohms 1% 1/8W
R8,1k,YAGEO RC0805FR-071KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 1K Ohms 1% 1/8W
R10,1k,YAGEO RC0805FR-071KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 1K Ohms 1% 1/8W
R12,1k,YAGEO RC0805FR-071KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 1K Ohms 1% 1/8W
R14,1k,YAGEO RC0805FR-071KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 1K Ohms 1% 1/8W
R42,1k,YAGEO RC0805FR-071KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 1K Ohms 1% 1/8W
R15,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R16,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R17,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R18,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R19,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R20,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R21,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R22,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R23,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R24,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R25,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R26,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R43,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R44,330,YAGEO RC0805FR-07330RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 330 Ohms 1% 1/8W
R27,470,YAGEO RC0805FR-07470RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 470 Ohms 1% 1/8W
R28,44.2k,YAGEO RC0805FR-0744K2L,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 44.2K Ohms 1% 1/8W
R34,44.2k,YAGEO RC0805FR-0744K2L,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 44.2K Ohms 1% 1/8W
R36,220,YAGEO RC0805FR-07220RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 220 Ohms 1% 1/8W
R37,220,YAGEO RC0805FR-07220RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 220 Ohms 1% 1/8W
